"scientific_name","decimal_latitude","decimal_longitude","where_obtained_coordinates","total_num_specimens"
"Andrena ziziae","35.812","-78.714","dataset provided",1
"Andrena ziziaeformis","35.772","-78.639","dataset provided",2
"Anthidiellum notatum","35.7502","-78.6605","dataset provided",1
"Anthidiellum notatum","35.76666667","-78.63333333","google earth - Raleigh",20
"Anthidiellum notatum","35.794","-78.7","dataset provided",9
"Anthidiellum notatum","35.8","-78.55","google earth - Wake County",4
"Anthidiellum notatum","35.81666667","-78.71666667","google earth",1
"Anthidiellum notatum","35.88333333","-78.75","google earth",3
"Anthidiellum notatum","35.89361111","-78.73083333","dataset provided",1
"Anthidiellum perplexum","35.76666667","-78.63333333","google earth - Raleigh",1
"Anthidium maculifrons","35.65","-78.96666667","dataset provided",1
"Anthidium maculifrons","35.76666667","-78.63333333","google earth - Raleigh",21
"Anthophora abrupta","35.71666667","-78.65","dataset provided",1
"Anthophora abrupta","35.75","-78.66","dataset provided",5
"Anthophora abrupta","35.76666667","-78.63333333","dataset provided",1
"Anthophora abrupta","35.76666667","-78.63333333","google earth - Raleigh",30
"Anthophora abrupta","35.7719","-78.6389","dataset provided",1
"Anthophora abrupta","35.783735","-78.827248","dataset provided",1
"Anthophora abrupta","35.809517","-78.479408","dataset provided",1
"Anthophora abrupta","35.83861111","-78.79027778","dataset provided",1
"Anthophora abrupta","35.88305556","-78.76388889","dataset provided",1
"Anthophora abrupta","35.88333333","-78.75","google earth",1
"Anthophora bomboides","35.8","-78.55","google earth - Wake County",1
"Anthophora terminalis","35.76666667","-78.63333333","google earth - Raleigh",1
"Anthophora ursina","35.76666667","-78.63333333","dataset provided",5
"Anthophora ursina","35.76666667","-78.63333333","google earth - Raleigh",22
"Anthophora ursina","35.7719","-78.6389","dataset provided",3
"Anthophora ursina","35.77194444","-78.63861111","dataset provided",3
"Anthophora ursina","35.8","-78.55","dataset provided",1
"Anthophora ursina","35.8","-78.55","google earth - Wake County",1
"Apis mellifera","35.658412","-78.837938","dataset provided",1
"Apis mellifera","35.665135","-78.677634","dataset provided",1
"Apis mellifera","35.691287","-78.601136","dataset provided",1
"Apis mellifera","35.7","-78.6","google earth - Garner",2
"Apis mellifera","35.717902","-78.906602","dataset provided",1
"Apis mellifera","35.718135","-78.906323","dataset provided",1
"Apis mellifera","35.718175","-78.90541","dataset provided",1
"Apis mellifera","35.718253","-78.905573","dataset provided",1
"Apis mellifera","35.718292","-78.905732","dataset provided",1
"Apis mellifera","35.725803","-78.675125","dataset provided",102
"Apis mellifera","35.72588","-78.664046","dataset provided",1
"Apis mellifera","35.726633","-78.675597","dataset provided",1
"Apis mellifera","35.748","-78.687","dataset provided",6
"Apis mellifera","35.75","-78.66","dataset provided",10
"Apis mellifera","35.7502","-78.6605","dataset provided",5
"Apis mellifera","35.756097","-78.739137","dataset provided",1
"Apis mellifera","35.76666667","-78.63333333","google earth - Raleigh",83
"Apis mellifera","35.76666667","-78.65","google earth",1
"Apis mellifera","35.76666667","-78.66666667","google earth - Central Utility Plant, NCSU Centennial Campus",3
"Apis mellifera","35.768","-78.615","dataset provided",5
"Apis mellifera","35.768101","-78.678641","dataset provided",1
"Apis mellifera","35.77194","-78.63889","dataset provided",2
"Apis mellifera","35.77464","-78.652024","dataset provided",1
"Apis mellifera","35.775897","-78.822692","dataset provided",1
"Apis mellifera","35.77609","-78.822897","dataset provided",1
"Apis mellifera","35.778684","-78.662614","dataset provided",1
"Apis mellifera","35.778947","-78.82015","dataset provided",1
"Apis mellifera","35.779342","-78.665744","dataset provided",1
"Apis mellifera","35.779898","-78.713617","dataset provided",1
"Apis mellifera","35.780699","-78.669605","dataset provided",1
"Apis mellifera","35.781392","-78.706151","dataset provided",1
"Apis mellifera","35.781693","-78.828212","dataset provided",1
"Apis mellifera","35.782","-78.686","dataset provided",3
"Apis mellifera","35.783007","-78.673571","dataset provided",1
"Apis mellifera","35.78333333","-78.66666667","google earth",3
"Apis mellifera","35.78333333","-78.66666667","google earth - NCSU",1
"Apis mellifera","35.78333333","-78.7","google earth - NC fairgrounds raleigh",12
"Apis mellifera","35.783659","-78.675021","dataset provided",1
"Apis mellifera","35.785339","-78.772252","dataset provided",1
"Apis mellifera","35.786","-78.67","dataset provided",1
"Apis mellifera","35.78653","-78.66848","dataset provided",1
"Apis mellifera","35.787","-78.672","dataset provided",4
"Apis mellifera","35.787896","-78.672736","dataset provided",1
"Apis mellifera","35.788","-78.673","dataset provided",2
"Apis mellifera","35.790105","-78.699488","dataset provided",1
"Apis mellifera","35.790565","-78.635522","dataset provided",1
"Apis mellifera","35.79154","-78.781117","dataset provided",1
"Apis mellifera","35.792776","-78.527751","dataset provided",1
"Apis mellifera","35.794","-78.7","dataset provided",13
"Apis mellifera","35.794137","-78.504412","dataset provided",1
"Apis mellifera","35.795","-78.668","dataset provided",2
"Apis mellifera","35.795458","-78.708906","dataset provided",1
"Apis mellifera","35.797","-78.634","dataset provided",3
"Apis mellifera","35.798149","-78.688416","dataset provided",1
"Apis mellifera","35.8","-78.55","google earth - Wake County",6
"Apis mellifera","35.8","-78.63333333","google earth",2
"Apis mellifera","35.80025","-78.730888","dataset provided",1
"Apis mellifera","35.810272","-78.715256","dataset provided",1
"Apis mellifera","35.812","-78.714","dataset provided",4
"Apis mellifera","35.816","-78.642","dataset provided",4
"Apis mellifera","35.822552","-78.762084","dataset provided",1
"Apis mellifera","35.823417","-78.567695","dataset provided",1
"Apis mellifera","35.82777778","-78.715","dataset provided",2
"Apis mellifera","35.83","-78.77722222","dataset provided",1
"Apis mellifera","35.83333333","-78.78333333","google earth - Lake Crabtree County Park, Wake",1
"Apis mellifera","35.847","-78.627","dataset provided",2
"Apis mellifera","35.848","-78.551","dataset provided",1
"Apis mellifera","35.86392","-78.645112","dataset provided",1
"Apis mellifera","35.867003","-78.656482","dataset provided",1
"Apis mellifera","35.871","-78.763","dataset provided",1
"Apis mellifera","35.88305556","-78.76388889","dataset provided",2
"Apis mellifera","35.888237","-78.623338","dataset provided",1
"Apis mellifera","35.892","-78.704","dataset provided",1
"Apis mellifera","35.89361111","-78.73083333","dataset provided",4
"Apis mellifera","35.894852","-78.579037","dataset provided",1
"Apis mellifera","35.926","-78.601","dataset provided",6
"Apis mellifera","35.932","-78.686","dataset provided",3
"Apis mellifera","35.99388889","-78.7","dataset provided",1
"Ashmeadiella floridana","35.76666667","-78.63333333","google earth - Raleigh",2
"Augochlora pura","35.748","-78.687","dataset provided",1
"Augochlora pura","35.7502","-78.6605","dataset provided",7
"Augochlora pura","35.76666667","-78.63333333","google earth - Raleigh",17
"Augochlora pura","35.76666667","-78.66666667","google earth - Central Utility Plant, NCSU Centennial Campus",1
"Augochlora pura","35.781","-78.639","dataset provided",3
"Augochlora pura","35.78333333","-78.76666667","google earth",1
"Augochlora pura","35.795","-78.668","dataset provided",1
"Augochlora pura","35.8","-78.55","google earth - Wake County",2
"Augochlora pura","35.816","-78.642","dataset provided",6
"Augochlora pura","35.83","-78.672","dataset provided",1
"Augochlora pura","35.847","-78.627","dataset provided",2
"Augochlora pura","35.867","-78.648","dataset provided",3
"Augochlora pura","35.88333333","-78.75","google earth",1
"Augochlora pura","35.892","-78.704","dataset provided",3
"Augochlorella aurata","35.73333333","-78.7","google earth - State Rd 1152",1
"Augochlorella aurata","35.748","-78.687","dataset provided",1
"Augochlorella aurata","35.75","-78.66","dataset provided",8
"Augochlorella aurata","35.76666667","-78.63333333","google earth - Raleigh",32
"Augochlorella aurata","35.768","-78.615","dataset provided",3
"Augochlorella aurata","35.78333333","-78.66666667","google earth",1
"Augochlorella aurata","35.78348","-78.63306","dataset provided",2
"Augochlorella aurata","35.795","-78.668","dataset provided",1
"Augochlorella aurata","35.797","-78.634","dataset provided",4
"Augochlorella aurata","35.79976","-78.66271","dataset provided",4
"Augochlorella aurata","35.8","-78.55","google earth - Wake County",4
"Augochlorella aurata","35.803","-78.684","dataset provided",7
"Augochlorella aurata","35.812","-78.714","dataset provided",3
"Augochlorella aurata","35.816","-78.642","dataset provided",2
"Augochlorella aurata","35.824","-78.687","dataset provided",2
"Augochlorella aurata","35.82777778","-78.715","dataset provided",9
"Augochlorella aurata","35.83","-78.77722222","dataset provided",1
"Augochlorella aurata","35.83861111","-78.79027778","dataset provided",14
"Augochlorella aurata","35.847","-78.627","dataset provided",1
