"collection_code","catalog_number","data_source","location_data_pulled_from","availability_notes","collection_url","SCAN_catalogNumber","date_data_pulled"
"NCSU","29100","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29100",
"NCSU","29101","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29101",
"NCSU","29102","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29102",
"NCSU","29103","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29103",
"NCSU","29104","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29104",
"NCSU","29105","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29105",
"NCSU","29106","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29106",
"NCSU","29107","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29107",
"NCSU","29108","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29108",
"NCSU","29109","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29109",
"NCSU","29110","NC State Insect Museum","portal","uploaded to SCAN collection 'North Carolina State University Insect Collection'","https://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=319","NCSU 29110",
